ICC4543,専門演習２,星野　宏美,春・木・３ 5324,/timetable/slbssbdr.do?value(risyunen)=2017&value(semekikn)=1&value(kougicd)=DM759&value(crclumcd)=
ICC4543,専門演習２,高橋　里美,春・木・３ 4251,/timetable/slbssbdr.do?value(risyunen)=2017&value(semekikn)=1&value(kougicd)=DM766&value(crclumcd)=
ICC4543,専門演習２,山本　有香,春・木・３ 9202,/timetable/slbssbdr.do?value(risyunen)=2017&value(semekikn)=1&value(kougicd)=DM773&value(crclumcd)=
ICC4543,専門演習２,鳥飼　慎一郎,春・木・３ 8502,/timetable/slbssbdr.do?value(risyunen)=2017&value(semekikn)=1&value(kougicd)=DM785&value(crclumcd)=
ICC4543,専門演習３,星野　宏美,秋・木・３ 5324,/timetable/slbssbdr.do?value(risyunen)=2017&value(semekikn)=1&value(kougicd)=DM809&value(crclumcd)=
ICC4543,専門演習３,高橋　里美,秋・木・３ 4251,/timetable/slbssbdr.do?value(risyunen)=2017&value(semekikn)=1&value(kougicd)=DM816&value(crclumcd)=
ICC4543,専門演習３,鳥飼　慎一郎,秋・木・３ 8502,/timetable/slbssbdr.do?value(risyunen)=2017&value(semekikn)=1&value(kougicd)=DM835&value(crclumcd)=
ICC3471,International Development and Sustainability,ジョンソン，Ｓ．,秋・木・３ X202,/timetable/slbssbdr.do?value(risyunen)=2017&value(semekikn)=1&value(kougicd)=DM433&value(crclumcd)=
ICC3440,人間環境論,阿部　朋恒,秋・木・３ 1104,/timetable/slbssbdr.do?value(risyunen)=2017&value(semekikn)=1&value(kougicd)=DM644&value(crclumcd)=
ICC3620,ビジネス日本語コミュニケーション演習,平山　紫帆,秋・木・３ 1201,/timetable/slbssbdr.do?value(risyunen)=2017&value(semekikn)=1&value(kougicd)=DM515&value(crclumcd)=
ICC3471,Multiculturalism in Japan,森田　京子,秋・木・３ 5407,/timetable/slbssbdr.do?value(risyunen)=2017&value(semekikn)=1&value(kougicd)=DM431&value(crclumcd)=
ICC2511,Cultural Exchange,佐竹　晶子,春・木・４ 4403,/timetable/slbssbdr.do?value(risyunen)=2017&value(semekikn)=1&value(kougicd)=DM186&value(crclumcd)=
ICC2511,Cultural Exchange,高山　一郎,春・木・４ 4404,/timetable/slbssbdr.do?value(risyunen)=2017&value(semekikn)=1&value(kougicd)=DM187&value(crclumcd)=
ICC2511,Cultural Exchange,神戸　直樹,春・木・４ 4411,/timetable/slbssbdr.do?value(risyunen)=2017&value(semekikn)=1&value(kougicd)=DM188&value(crclumcd)=
ICC2511,Cultural Exchange,ジョンソン，Ｓ．,春・木・４ 4412,/timetable/slbssbdr.do?value(risyunen)=2017&value(semekikn)=1&value(kougicd)=DM189&value(crclumcd)=
ICC2511,Cultural Exchange,ヴェラスコ,春・木・４ 4405,/timetable/slbssbdr.do?value(risyunen)=2017&value(semekikn)=1&value(kougicd)=DM190&value(crclumcd)=
ICC2511,Cultural Exchange,グラスゴー,春・木・４ 4407,/timetable/slbssbdr.do?value(risyunen)=2017&value(semekikn)=1&value(kougicd)=DM191&value(crclumcd)=
,基礎演習２,細井　尚子,春・木・４ 5213,/timetable/slbssbdr.do?value(risyunen)=2017&value(semekikn)=1&value(kougicd)=DM047&value(crclumcd)=
ICC1510,基礎演習Ｂ,細井　尚子,春・木・４ 5213,/timetable/slbssbdr.do?value(risyunen)=2017&value(semekikn)=1&value(kougicd)=DM027&value(crclumcd)=
ICC2361,Introduction to Communication,神戸　直樹,秋・木・４ D302,/timetable/slbssbdr.do?value(risyunen)=2017&value(semekikn)=1&value(kougicd)=DM404&value(crclumcd)=
,コミュニケーションセミナー２Ｃ（英語）,ジョンソン，Ｓ．,秋・木・４ X202,/timetable/slbssbdr.do?value(risyunen)=2017&value(semekikn)=1&value(kougicd)=DM062&value(crclumcd)=
ICC2621,Seminar in English D,ジョンソン，Ｓ．,秋・木・４ X202,/timetable/slbssbdr.do?value(risyunen)=2017&value(semekikn)=1&value(kougicd)=DM144&value(crclumcd)=
ICC2621,Seminar in English F,呂　イェジ,秋・木・４ 4151,/timetable/slbssbdr.do?value(risyunen)=2017&value(semekikn)=1&value(kougicd)=DM146&value(crclumcd)=
ICC3543,専門演習１,奥野　克巳,秋・木・４ 5215,/timetable/slbssbdr.do?value(risyunen)=2017&value(semekikn)=1&value(kougicd)=DM732&value(crclumcd)=
ICC4543,専門演習３,奥野　克巳,秋・木・４ 5215,/timetable/slbssbdr.do?value(risyunen)=2017&value(semekikn)=1&value(kougicd)=DM832&value(crclumcd)=
ICC2261,Introduction to Translation and Interpreting Studies,松下　佳世,秋・木・４ X304,/timetable/slbssbdr.do?value(risyunen)=2017&value(semekikn)=1&value(kougicd)=DM403&value(crclumcd)=
ICC2231,通訳翻訳学概論,松下　佳世,秋・木・４ X304,/timetable/slbssbdr.do?value(risyunen)=2017&value(semekikn)=1&value(kougicd)=DM532&value(crclumcd)=
ICC3140,日本語学特論,小澤　伊久美,秋・木・４ X302,/timetable/slbssbdr.do?value(risyunen)=2017&value(semekikn)=1&value(kougicd)=DM567&value(crclumcd)=
ICC2430,文化史概論,梶谷　雄二,春・木・４ 5404,/timetable/slbssbdr.do?value(risyunen)=2017&value(semekikn)=1&value(kougicd)=DM538&value(crclumcd)=
ICC2430,文化と芸術Ｂ,星野　宏美,秋・木・４ 5324,/timetable/slbssbdr.do?value(risyunen)=2017&value(semekikn)=1&value(kougicd)=DM606&value(crclumcd)=
ICC2361,Introduction to Mass Communication,呂　イェジ,秋・木・５ 4151,/timetable/slbssbdr.do?value(risyunen)=2017&value(semekikn)=1&value(kougicd)=DM401&value(crclumcd)=
ICC3440,芸術論Ａ,星野　宏美,春・木・５ 5324,/timetable/slbssbdr.do?value(risyunen)=2017&value(semekikn)=1&value(kougicd)=DM536&value(crclumcd)=
ICC3440,国際協力・開発学特論,奥野　克巳,春・木・５ 8303,/timetable/slbssbdr.do?value(risyunen)=2017&value(semekikn)=1&value(kougicd)=DM673&value(crclumcd)=
ICC3340,コミュニケーション研究調査法,時津　倫子,春・木・５ 4253,/timetable/slbssbdr.do?value(risyunen)=2017&value(semekikn)=1&value(kougicd)=DM554&value(crclumcd)=
